organism_taxonomy_name,ENA last update,ENA-CHECKLIST,when,External Id,Submitter Id,INSDC last update,status,common name,BioSample_db,title,organism_taxonomy_id,publication_date,Name,paragraph,biosample_id,INSDC first public,ENA first public,SRA_db,access,submission_date,package,INSDC center name,last_update,INSDC center alias,INSDC status,sample_name
Desmodus rotundus,2018-08-25,ERC000011,2019-01-25T08:13:09,SAMEA4858896,HUA_H_F,2018-08-25T15:20:33Z,live,common vampire bat,SAMEA4858896,Non-invasive swabs from vampire bats,9430,2019-01-09T00:00:00.000,EBI,,SAMEA4858896,2019-01-09T17:03:33Z,2019-01-09,ERS2678735,public,2019-01-24T10:28:16.306,Generic.1.0,IBAHCM,2021-08-22T00:12:03.000,IBAHCM,public,HUA_H_F
Desmodus rotundus,2018-08-25,ERC000011,2019-01-15T10:32:27.498,SAMEA4858886,AAC_L_SV,2018-08-25T15:20:33Z,live,common vampire bat,SAMEA4858886,Non-invasive swabs from vampire bats,9430,2019-01-09T00:00:00.000,EBI,,SAMEA4858886,2019-01-09T17:03:33Z,2019-01-09,ERS2678725,public,2019-01-15T10:32:27.496,Generic.1.0,IBAHCM,2021-08-22T00:12:03.000,IBAHCM,public,AAC_L_SV
Desmodus rotundus,2018-08-25,ERC000011,2019-01-25T08:13:08,SAMEA4858885,AAC_L_F,2018-08-25T15:20:33Z,live,common vampire bat,SAMEA4858885,Non-invasive swabs from vampire bats,9430,2019-01-09T00:00:00.000,EBI,,SAMEA4858885,2019-01-09T17:03:33Z,2019-01-09,ERS2678724,public,2019-01-24T10:28:15.760,Generic.1.0,IBAHCM,2021-08-22T00:12:03.000,IBAHCM,public,AAC_L_F
Desmodus rotundus,2018-08-25,ERC000011,2019-01-15T10:32:30.479,SAMEA4858892,CAJ_H_SV,2018-08-25T15:20:33Z,live,common vampire bat,SAMEA4858892,Non-invasive swabs from vampire bats,9430,2019-01-09T00:00:00.000,EBI,,SAMEA4858892,2019-01-09T17:03:33Z,2019-01-09,ERS2678731,public,2019-01-15T10:32:30.476,Generic.1.0,IBAHCM,2021-08-22T00:12:03.000,IBAHCM,public,CAJ_H_SV
Desmodus rotundus,2018-08-25,ERC000011,2019-01-15T10:32:32.730,SAMEA4858897,HUA_H_SV,2018-08-25T15:20:33Z,live,common vampire bat,SAMEA4858897,Non-invasive swabs from vampire bats,9430,2019-01-09T00:00:00.000,EBI,,SAMEA4858897,2019-01-09T17:03:33Z,2019-01-09,ERS2678736,public,2019-01-15T10:32:32.730,Generic.1.0,IBAHCM,2021-08-22T00:12:03.000,IBAHCM,public,HUA_H_SV
Desmodus rotundus,2018-08-25,ERC000011,2019-01-15T10:32:26.776,SAMEA4858883,AAC_H_F,2018-08-25T15:20:33Z,live,common vampire bat,SAMEA4858883,Non-invasive swabs from vampire bats,9430,2019-01-09T00:00:00.000,EBI,,SAMEA4858883,2019-01-09T17:03:33Z,2019-01-09,ERS2678722,public,2019-01-15T10:32:26.773,Generic.1.0,IBAHCM,2021-08-22T00:12:03.000,IBAHCM,public,AAC_H_F
Desmodus rotundus,2018-08-25,ERC000011,2019-01-25T08:13:08,SAMEA4858890,CAJ_H_F_1,2018-08-25T15:20:33Z,live,common vampire bat,SAMEA4858890,Non-invasive swabs from vampire bats,9430,2019-01-09T00:00:00.000,EBI,,SAMEA4858890,2019-01-09T17:03:33Z,2019-01-09,ERS2678729,public,2019-01-24T10:28:16.040,Generic.1.0,IBAHCM,2021-08-22T00:12:03.000,IBAHCM,public,CAJ_H_F_1
Desmodus rotundus,2018-08-25,ERC000011,2019-01-15T10:32:35.067,SAMEA4858902,LR_L_F_NR,2018-08-25T15:20:33Z,live,common vampire bat,SAMEA4858902,Non-invasive swabs from vampire bats,9430,2019-01-09T00:00:00.000,EBI,,SAMEA4858902,2019-01-09T17:03:33Z,2019-01-09,ERS2678741,public,2019-01-15T10:32:35.066,Generic.1.0,IBAHCM,2021-08-22T00:12:03.000,IBAHCM,public,LR_L_F_NR
Desmodus rotundus,2018-08-25,ERC000011,2019-01-15T10:32:29.718,SAMEA4858889,AMA_L_SV,2018-08-25T15:20:33Z,live,common vampire bat,SAMEA4858889,Non-invasive swabs from vampire bats,9430,2019-01-09T00:00:00.000,EBI,,SAMEA4858889,2019-01-09T17:03:33Z,2019-01-09,ERS2678728,public,2019-01-15T10:32:29.716,Generic.1.0,IBAHCM,2021-08-22T00:12:03.000,IBAHCM,public,AMA_L_SV
Desmodus rotundus,2018-08-25,ERC000011,2019-01-15T10:32:28.989,SAMEA4858888,AMA_L_F_R,2018-08-25T15:20:33Z,live,common vampire bat,SAMEA4858888,Non-invasive swabs from vampire bats,9430,2019-01-09T00:00:00.000,EBI,,SAMEA4858888,2019-01-09T17:03:33Z,2019-01-09,ERS2678727,public,2019-01-15T10:32:28.986,Generic.1.0,IBAHCM,2021-08-22T00:12:03.000,IBAHCM,public,AMA_L_F_R
Desmodus rotundus,2018-08-25,ERC000011,2019-01-25T08:13:08,SAMEA4858884,AAC_H_SV,2018-08-25T15:20:33Z,live,common vampire bat,SAMEA4858884,Non-invasive swabs from vampire bats,9430,2019-01-09T00:00:00.000,EBI,,SAMEA4858884,2019-01-09T17:03:33Z,2019-01-09,ERS2678723,public,2019-01-24T10:28:15.730,Generic.1.0,IBAHCM,2021-08-22T00:12:03.000,IBAHCM,public,AAC_H_SV
Desmodus rotundus,2018-08-25,ERC000011,2019-01-25T08:13:09,SAMEA4858891,CAJ_H_F_2,2018-08-25T15:20:33Z,live,common vampire bat,SAMEA4858891,Non-invasive swabs from vampire bats,9430,2019-01-09T00:00:00.000,EBI,,SAMEA4858891,2019-01-09T17:03:33Z,2019-01-09,ERS2678730,public,2019-01-24T10:28:16.073,Generic.1.0,IBAHCM,2021-08-22T00:12:03.000,IBAHCM,public,CAJ_H_F_2
Desmodus rotundus,2018-08-25,ERC000011,2019-01-15T10:32:34.307,SAMEA4858901,LMA_L_SV_R,2018-08-25T15:20:33Z,live,common vampire bat,SAMEA4858901,Non-invasive swabs from vampire bats,9430,2019-01-09T00:00:00.000,EBI,,SAMEA4858901,2019-01-09T17:03:33Z,2019-01-09,ERS2678740,public,2019-01-15T10:32:34.306,Generic.1.0,IBAHCM,2021-08-22T00:12:03.000,IBAHCM,public,LMA_L_SV_R
Desmodus rotundus,2018-08-25,ERC000011,2019-01-15T10:32:28.271,SAMEA4858887,AMA_L_F_NR,2018-08-25T15:20:33Z,live,common vampire bat,SAMEA4858887,Non-invasive swabs from vampire bats,9430,2019-01-09T00:00:00.000,EBI,,SAMEA4858887,2019-01-09T17:03:33Z,2019-01-09,ERS2678726,public,2019-01-15T10:32:28.270,Generic.1.0,IBAHCM,2021-08-22T00:12:03.000,IBAHCM,public,AMA_L_F_NR
Desmodus rotundus,2018-08-25,ERC000011,2019-01-25T08:13:09,SAMEA4858898,LMA_L_F_NR,2018-08-25T15:20:33Z,live,common vampire bat,SAMEA4858898,Non-invasive swabs from vampire bats,9430,2019-01-09T00:00:00.000,EBI,,SAMEA4858898,2019-01-09T17:03:33Z,2019-01-09,ERS2678737,public,2019-01-24T10:28:16.400,Generic.1.0,IBAHCM,2021-08-22T00:12:03.000,IBAHCM,public,LMA_L_F_NR
Desmodus rotundus,2018-08-25,ERC000011,2019-01-15T10:32:35.806,SAMEA4858903,LR_L_F_R,2018-08-25T15:20:33Z,live,common vampire bat,SAMEA4858903,Non-invasive swabs from vampire bats,9430,2019-01-09T00:00:00.000,EBI,,SAMEA4858903,2019-01-09T17:03:33Z,2019-01-09,ERS2678742,public,2019-01-15T10:32:35.803,Generic.1.0,IBAHCM,2021-08-22T00:12:03.000,IBAHCM,public,LR_L_F_R
Desmodus rotundus,2018-08-25,ERC000011,2019-01-15T10:32:33.508,SAMEA4858899,LMA_L_F_R,2018-08-25T15:20:33Z,live,common vampire bat,SAMEA4858899,Non-invasive swabs from vampire bats,9430,2019-01-09T00:00:00.000,EBI,,SAMEA4858899,2019-01-09T17:03:33Z,2019-01-09,ERS2678738,public,2019-01-15T10:32:33.506,Generic.1.0,IBAHCM,2021-08-22T00:12:03.000,IBAHCM,public,LMA_L_F_R
Desmodus rotundus,2018-08-25,ERC000011,2019-01-25T08:13:09,SAMEA4858900,LMA_L_SV_NR,2018-08-25T15:20:33Z,live,common vampire bat,SAMEA4858900,Non-invasive swabs from vampire bats,9430,2019-01-09T00:00:00.000,EBI,,SAMEA4858900,2019-01-09T17:03:33Z,2019-01-09,ERS2678739,public,2019-01-24T10:28:16.496,Generic.1.0,IBAHCM,2021-08-22T00:12:03.000,IBAHCM,public,LMA_L_SV_NR
Desmodus rotundus,2018-08-25,ERC000011,2019-01-15T10:32:31.201,SAMEA4858893,CAJ_L_F_NR,2018-08-25T15:20:33Z,live,common vampire bat,SAMEA4858893,Non-invasive swabs from vampire bats,9430,2019-01-09T00:00:00.000,EBI,,SAMEA4858893,2019-01-09T17:03:33Z,2019-01-09,ERS2678732,public,2019-01-15T10:32:31.200,Generic.1.0,IBAHCM,2021-08-22T00:12:03.000,IBAHCM,public,CAJ_L_F_NR
